Timestamp,ID,Velocidade,Posicao_X,Posicao_Y,Lotacao
1.0,B67.0,0.0,12.1,-1.6,58
2.0,B67.0,1.996184311900288,12.654495642194524,-1.6,86
3.0,B67.0,4.313696256699041,13.852744602388702,-1.6,54
4.0,B67.0,7.831833298411221,16.028253851947376,-1.6,37
5.0,B67.0,10.547231936221943,18.958040500897916,-1.6,38
6.0,B67.0,13.085313303396106,22.59284975184128,-1.6,94
7.0,B67.0,16.606812001671642,27.205853085638957,-1.6,36
8.0,B67.0,18.868948717508466,32.44722772939131,-1.6,76
9.0,B67.0,22.023447792045772,38.56485211607069,-1.6,40
10.0,B67.0,24.641952379373834,45.409838888118976,-1.6,87
11.0,B67.0,26.900737360306085,52.882265932648444,-1.6,77
11.0,B67.1,0.0,12.1,-1.6,8
12.0,B67.0,30.489874199638145,61.35167543254793,-1.6,85
12.0,B67.1,2.388592976471409,12.763498049019836,-1.6,70
13.0,B67.0,33.250777397677304,70.58800248745828,-1.6,90
13.0,B67.1,5.1747920692898335,14.200940290489234,-1.6,42
14.0,B67.0,35.83148126886226,80.54119172880891,-1.6,39
14.0,B67.1,8.298664163751528,16.506124780420215,-1.6,84
15.0,B67.0,39.32301830817014,91.46425236996728,-1.6,67
15.0,B67.1,10.322613239474595,19.373517346940936,-1.6,52
16.0,B67.0,42.34348304802552,103.22633099441882,-1.6,18
16.0,B67.1,12.69212116599083,22.899106559716166,-1.6,77
17.0,B67.0,45.86032781819813,115.9653109439183,-1.6,39
17.0,B67.1,15.3687817113474,27.168212590646,-1.6,12
18.0,B67.0,48.907613058155405,129.55075901562813,-1.6,93
18.0,B67.1,17.828523728158327,32.1205802929122,-1.6,91
19.0,B67.0,50.817342651402576,143.66668752990662,-1.6,32
19.0,B67.1,19.944769917754456,37.660794158955106,-1.6,75
20.0,B67.0,51.40651474230342,157.94627495832424,-1.6,50
20.0,B67.1,22.83092978023924,44.00271909791045,-1.6,36
21.0,B67.0,52.024475943607996,172.39751827599312,-1.6,11
21.0,B67.1,26.004838217329233,51.22628526939079,-1.6,29
21.0,B67.2,0.0,12.1,-1.6,51
22.0,B67.0,52.94588858101868,187.1047095484983,-1.6,100
22.0,B67.1,29.061666449764743,59.298970394325444,-1.6,22
22.0,B67.2,2.223896217998117,12.717748949443921,-1.6,23
23.0,B67.0,52.71784820867122,201.7485562731292,-1.6,91
23.0,B67.1,30.93980390103534,67.89336036683525,-1.6,80
23.0,B67.2,5.770215018605813,14.320586454612203,-1.6,16
24.0,B67.0,51.771112585751126,216.12942088028228,-1.6,66
24.0,B67.1,33.94345021303743,77.32209653712343,-1.6,7
24.0,B67.2,9.137338906293735,16.85873615080491,-1.6,62
25.0,B67.0,52.778552120256954,230.79012980257588,-1.6,2
